STATE,NUM_EVENTS,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,TOTAL_DAMAGE,TOTAL_INJURIES,TOTAL_DEATHS,TOTAL_REGISTRATIONS,TOTAL_MILES_DRIVEN,TOTAL_ROAD_LENGTH,POPULATION,REGION,DIVISION,YEAR
NORTH CAROLINA,321,12,0,4,0,1655000.0,0.0,1655000.0,12,4,5162005,62707,94690,6628637,SOUTH,SOUTH ATLANTIC,1990
NORTH DAKOTA,176,5,0,1,0,1427500.0,0.0,1427500.0,5,1,629839,5910,86517,638800,MIDWEST,WEST NORTH CENTRAL,1990
OHIO,319,39,0,7,0,115952500.0,0.0,115952500.0,39,7,8410466,86972,113600,10847115,MIDWEST,EAST NORTH CENTRAL,1990
OKLAHOMA,834,36,0,1,0,28275000.0,0.0,28275000.0,36,1,2649051,33081,111765,3145585,SOUTH,WEST SOUTH CENTRAL,1990
OREGON,9,3,0,0,0,0.0,0.0,0.0,3,0,2445487,26738,94969,2842321,WEST,PACIFIC,1990
PENNSYLVANIA,389,11,0,0,0,3602500.0,0.0,3602500.0,11,0,7971470,85708,116508,11881643,NORTHEAST,MIDDLE ATLANTIC,1990
RHODE ISLAND,5,0,0,0,0,250000.0,0.0,250000.0,0,0,671807,7024,6111,1003464,NORTHEAST,NEW ENGLAND,1990
SOUTH CAROLINA,230,25,0,1,0,2032750.0,0.0,2032750.0,25,1,2519737,34376,64046,3486703,SOUTH,SOUTH ATLANTIC,1990
SOUTH DAKOTA,168,1,0,0,0,5000000.0,0.0,5000000.0,1,0,703786,6989,74696,696004,MIDWEST,WEST NORTH CENTRAL,1990
TENNESSEE,183,16,0,0,0,830250.0,0.0,830250.0,16,0,4444108,46710,84639,4877185,SOUTH,EAST SOUTH CENTRAL,1990
TEXAS,1395,119,0,3,0,123411280.0,0.0,123411280.0,119,3,12799815,162232,305951,16986510,SOUTH,WEST SOUTH CENTRAL,1990
UTAH,28,1,0,0,0,25250.0,0.0,25250.0,1,0,1205517,14646,43244,1722850,WEST,MOUNTAIN,1990
VERMONT,39,0,0,0,0,0.0,0.0,0.0,0,0,461796,5838,14121,562758,NORTHEAST,NEW ENGLAND,1990
VIRGINIA,259,28,0,4,0,15805250.0,0.0,15805250.0,28,4,4938062,60178,67700,6187358,SOUTH,SOUTH ATLANTIC,1990
WASHINGTON,2,0,0,0,0,25000.0,0.0,25000.0,0,0,4256866,44695,81299,4866692,WEST,PACIFIC,1990
WEST VIRGINIA,105,1,0,0,0,552500.0,0.0,552500.0,1,0,1224947,15418,34592,1793477,SOUTH,SOUTH ATLANTIC,1990
WISCONSIN,163,7,0,0,0,10825000.0,0.0,10825000.0,7,0,3671859,44277,109876,4891769,MIDWEST,EAST NORTH CENTRAL,1990
WYOMING,83,0,0,0,0,12750.0,0.0,12750.0,0,0,528421,5833,39213,453588,WEST,MOUNTAIN,1990
ALABAMA,1008,222,0,21,0,53379500.0,5000.0,53384500.0,222,21,3960149,56534,94311,4452173,SOUTH,EAST SOUTH CENTRAL,2000
ALASKA,493,18,0,13,0,10090500.0,5000.0,10095500.0,18,13,594399,4613,12823,627963,WEST,PACIFIC,2000
ARIZONA,263,44,0,11,0,13060000.0,3010000.0,16070000.0,44,11,3794538,49216,55195,5160586,WEST,MOUNTAIN,2000
ARKANSAS,1181,26,0,5,0,536834410.0,775000.0,537609410.0,26,5,1840193,29167,97600,2678588,SOUTH,WEST SOUTH CENTRAL,2000
CALIFORNIA,873,313,0,42,0,589892300.0,13010000.0,602902300.0,313,42,27697923,306649,168076,33987977,WEST,PACIFIC,2000
COLORADO,1163,34,0,6,0,25630000.0,15200000.0,40830000.0,34,6,3626012,41771,85409,4326921,WEST,MOUNTAIN,2000
CONNECTICUT,181,27,0,2,0,6731000.0,0.0,6731000.0,27,2,2853449,30756,20845,3411777,NORTHEAST,NEW ENGLAND,2000
DELAWARE,126,55,0,0,0,166000.0,0.0,166000.0,55,0,630446,8240,5779,786373,SOUTH,SOUTH ATLANTIC,2000
FLORIDA,1244,55,0,17,0,485774650.0,520501000.0,1006275650.0,55,17,11781010,150945,116649,16047515,SOUTH,SOUTH ATLANTIC,2000
GEORGIA,2211,312,0,23,0,112735640.0,311980320.0,424715960.0,312,23,7155006,105010,114727,8227303,SOUTH,SOUTH ATLANTIC,2000
HAWAII,328,1,0,0,0,70630000.0,0.0,70630000.0,1,0,737551,8543,4281,1213519,WEST,PACIFIC,2000
IDAHO,232,6,0,1,0,7872100.0,1244000.0,9116100.0,6,1,1177700,13534,46456,1299430,WEST,MOUNTAIN,2000
ILLINOIS,1720,37,0,9,0,22096500.0,815000.0,22911500.0,37,9,8972584,102866,138372,12434161,MIDWEST,EAST NORTH CENTRAL,2000
INDIANA,1037,22,0,3,0,90166500.0,160000.0,90326500.0,22,3,5570942,70862,93608,6091866,MIDWEST,EAST NORTH CENTRAL,2000
IOWA,2046,35,0,5,0,31951920.0,331089100.0,363041020.0,35,5,3106223,29433,113377,2929067,MIDWEST,WEST NORTH CENTRAL,2000
KANSAS,2403,72,0,10,0,105116450.0,76105000.0,181221450.0,72,10,2296135,28130,134582,2693681,MIDWEST,WEST NORTH CENTRAL,2000
KENTUCKY,1331,121,0,7,0,143647000.0,0.0,143647000.0,121,7,2826403,46803,79267,4049021,SOUTH,EAST SOUTH CENTRAL,2000
LOUISIANA,789,64,0,21,0,243978850.0,350447000.0,594425850.0,64,21,3556982,40849,60900,4471885,SOUTH,WEST SOUTH CENTRAL,2000
MAINE,728,13,0,1,0,4208000.0,0.0,4208000.0,13,1,1024096,14190,22670,1277072,NORTHEAST,NEW ENGLAND,2000
MARYLAND,774,21,0,5,0,6856400.0,510000.0,7366400.0,21,5,3847538,50174,30494,5311034,SOUTH,SOUTH ATLANTIC,2000
MASSACHUSETTS,427,8,0,1,0,677000.0,0.0,677000.0,8,1,5265399,52796,35311,6361104,NORTHEAST,NEW ENGLAND,2000
MICHIGAN,1031,27,0,3,0,49616500.0,1805000.0,51421500.0,27,3,8435721,97792,121979,9952450,MIDWEST,EAST NORTH CENTRAL,2000
MINNESOTA,1017,20,0,3,0,57860970.0,38441000.0,96301970.0,20,3,4629940,52601,132250,4933692,MIDWEST,WEST NORTH CENTRAL,2000
MISSISSIPPI,934,34,0,22,0,11120060.0,0.0,11120060.0,34,22,2289411,35536,73498,2848353,SOUTH,EAST SOUTH CENTRAL,2000
MISSOURI,2015,281,0,20,0,127389930.0,160000.0,127549930.0,281,20,4579629,67083,123039,5607285,MIDWEST,WEST NORTH CENTRAL,2000
MONTANA,1002,44,0,2,0,10311700.0,1440000.0,11751700.0,44,2,1026226,9882,69567,903773,WEST,MOUNTAIN,2000
NEBRASKA,1505,4,0,0,0,31392700.0,347107000.0,378499700.0,4,0,1618933,18081,92791,1713820,MIDWEST,WEST NORTH CENTRAL,2000
NEVADA,152,15,0,0,0,1000000.0,0.0,1000000.0,15,0,1219725,17639,37854,2018741,WEST,MOUNTAIN,2000
NEW HAMPSHIRE,363,6,0,2,0,835000.0,0.0,835000.0,6,2,1051751,12021,15211,1239882,NORTHEAST,NEW ENGLAND,2000
NEW JERSEY,781,36,0,2,0,184369000.0,100000.0,184469000.0,36,2,6390031,67446,36022,8430621,NORTHEAST,MIDDLE ATLANTIC,2000
NEW MEXICO,419,3,0,0,0,1504015000.0,0.0,1504015000.0,3,0,1528510,22760,59927,1821204,WEST,MOUNTAIN,2000
NEW YORK,1676,61,0,8,0,90973000.0,1590000.0,92563000.0,61,8,10234531,129057,112783,19001780,NORTHEAST,MIDDLE ATLANTIC,2000
NORTH CAROLINA,1711,44,0,9,0,11736600.0,2055000.0,13791600.0,44,9,6222503,89504,99813,8081614,SOUTH,SOUTH ATLANTIC,2000
